A1,83.08182,-0.027273,16.00909
A2,80.6,0.71,19.63
A3,77.21818,0.663636,21.4
A3.5,75.175,2.375,26.11667
A4,74.54,5.63,37.04
B1,88,0.4,21.9
B2,82.38182,-1.127273,18.19091
B3,78.3,1.84,14.96
B4,77,1.98,15.89
C1,62.71,0.42,8.86
C2,77.1,-0.5,16.8
C3,57.62,1.54,12.15
C4,52.7,2.5,28.1
D2,85.1,0.55,7.5
D3,59.43,1.61,10.2
D4,59.32,0.76,12.87
