76.3	1.8	28.6	10.73
79.1	4.5	29.8	4.95
79.1	0.5	19.8	2.1
69.1	1.3	28.5	11.2
76.9	1.6	28.3	5.57
72.4	1.1	27.4	7.67
75.6	0.3	24	6.54
74.3	3.9	24.3	7.6
77.1	-0.5	16.8	10.61
74.9	0.3	24.7	7.78
78.3	-0.4	22.7	11.41
75.9	1.1	23.4	8.33
75.1	2.8	24.1	12.21
74.4	0.6	23.9	13.75
76.2	3.9	32.9	7.89
74.2	8	34.4	8.5
73.3	1.9	29.7	12.81
72.9	6.5	34.6	14.01
73.4	3.7	38	12.66
78.4	0.7	21	4.47
70	0.9	22	3.17
74.9	0.9	22.7	6.62
77.6	-1.3	19.8	5.59
77.4	0.2	27.9	10.15
74.3	0.8	25.6	7.13
77.7	0.5	12	2.29
74	1.1	27.3	9.65
78.3	1	25	6.04
77.6	3.4	28	3.68
75.8	6.2	33	7.09
76.7	2.7	36.9	11.31
76.7	-1.2	9.1	7.17
76.9	-0.2	13.7	8.66
74.5	1	15	6.74
76.9	1.8	28	16.75
75.3	1.3	26.5	8.6
74.2	3.2	21.3	5.1
78.1	0.6	18.9	5.89
78.2	1.1	19.4	12.1
78.2	1.4	25.5	4.97
